"asm_script","c_owner","status","evidence","notes"
"PokemonTower1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonTower2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonTower3F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonTower4F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonTower5F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonTower6F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonTower7F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PowerPlant.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"RedsHouse1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"RedsHouse2F.asm","","missing","","no name/ref/symbol evidence found"
"RocketHideoutB1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"RocketHideoutB2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"RocketHideoutB3F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"RocketHideoutB4F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"RocketHideoutElevator.asm","","missing","","no name/ref/symbol evidence found"
"RockTunnel1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"RockTunnelB1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"RockTunnelPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route1.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route10.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route11.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route11Gate1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route11Gate2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route12.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route12Gate1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route12Gate2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route12SuperRodHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route13.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route14.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route15.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route15Gate1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route15Gate2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route16.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route16FlyHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route16Gate1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route16Gate2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route17.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route18.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route18Gate1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route18Gate2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route19.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route2.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route20.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route21.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route22.asm","event_data.c; route22_scripts.c","mapped","event_map_symbol_exact; event_map_symbol_prefix; exact_name; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"Route22Gate.asm","event_data.c; gate_scripts.c","partial","event_map_symbol_exact; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"Route23.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route24.asm","event_data.c; route24_scripts.c","mapped","event_map_symbol_exact; exact_name; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"Route25.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route2Gate.asm","event_data.c; route2gate_scripts.c","mapped","event_map_symbol_exact; exact_name; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"Route2TradeHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route3.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route4.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route5.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route5Gate.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route6.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route6Gate.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route7.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route7Gate.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route8.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"Route8Gate.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Route9.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SafariZoneCenter.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"SafariZoneCenterRestHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SafariZoneEast.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"SafariZoneEastRestHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SafariZoneGate.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SafariZoneNorth.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"SafariZoneNorthRestHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SafariZoneSecretHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SafariZoneWest.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"SafariZoneWestRestHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SaffronCity.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SaffronGym.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SaffronMart.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SaffronPidgeyHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SaffronPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SeafoamIslands1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SeafoamIslandsB1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SeafoamIslandsB2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SeafoamIslandsB3F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SeafoamIslandsB4F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo10F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo11F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo3F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo4F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo5F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo6F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo7F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo8F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCo9F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SilphCoElevator.asm","","missing","","no name/ref/symbol evidence found"
"SSAnne1F.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"SSAnne1FRooms.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SSAnne2F.asm","event_data.c; ss_anne_scripts.c","partial","event_map_symbol_exact; event_map_symbol_prefix; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"SSAnne2FRooms.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SSAnne3F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SSAnneB1F.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"SSAnneB1FRooms.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SSAnneBow.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"SSAnneCaptainsRoom.asm","event_data.c; ss_anne_scripts.c","partial","event_map_symbol_exact; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"SSAnneKitchen.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"TradeCenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"UndergroundPathNorthSouth.asm","","missing","","no name/ref/symbol evidence found"
"UndergroundPathRoute5.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"UndergroundPathRoute6.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"UndergroundPathRoute7.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"UndergroundPathRoute7Copy.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"UndergroundPathRoute8.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"UndergroundPathWestEast.asm","","missing","","no name/ref/symbol evidence found"
"VermilionCity.asm","event_data.c; ss_anne_scripts.c","partial","event_map_symbol_exact; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"VermilionDock.asm","ss_anne_scripts.c","partial","explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"VermilionGym.asm","event_data.c; vermilion_gym_scripts.c","mapped","event_map_symbol_exact; exact_name; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"VermilionMart.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"VermilionOldRodHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"VermilionPidgeyHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"VermilionPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"VermilionTradeHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"VictoryRoad1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"VictoryRoad2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"VictoryRoad3F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"ViridianCity.asm","event_data.c; gate_scripts.c","partial","event_map_symbol_exact; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"ViridianForest.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"ViridianForestNorthGate.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"ViridianForestSouthGate.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"ViridianGym.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"ViridianMart.asm","event_data.c; viridian_mart_scripts.c","mapped","event_map_symbol_exact; exact_name; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"ViridianNicknameHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"ViridianPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"ViridianSchoolHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"WardensHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
