"asm_script","c_owner","status","notes"
"MtMoonB1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"MtMoonB2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"MtMoonPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Museum1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Museum2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"NameRatersHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"OaksLab.asm","oakslab_scripts.c","mapped","name-normalized match"
"PalletTown.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PewterCity.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PewterGym.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PewterMart.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PewterNidoranHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PewterPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PewterSpeechHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonFanClub.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonMansion1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonMansion2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonMansion3F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonMansionB1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonTower1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonTower2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonTower3F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonTower4F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonTower5F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonTower6F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PokemonTower7F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"PowerPlant.asm","","missing","no normalized name match in src/game/*_scripts.c"
"RedsHouse1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"RedsHouse2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"RocketHideoutB1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"RocketHideoutB2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"RocketHideoutB3F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"RocketHideoutB4F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"RocketHideoutElevator.asm","","missing","no normalized name match in src/game/*_scripts.c"
"RockTunnel1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"RockTunnelB1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"RockTunnelPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route1.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route10.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route11.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route11Gate1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route11Gate2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route12.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route12Gate1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route12Gate2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route12SuperRodHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route13.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route14.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route15.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route15Gate1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route15Gate2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route16.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route16FlyHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route16Gate1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route16Gate2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route17.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route18.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route18Gate1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route18Gate2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route19.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route2.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route20.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route21.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route22.asm","route22_scripts.c","mapped","name-normalized match"
"Route22Gate.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route23.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route24.asm","route24_scripts.c","mapped","name-normalized match"
"Route25.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route2Gate.asm","route2gate_scripts.c","mapped","name-normalized match"
"Route2TradeHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route3.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route4.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route5.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route5Gate.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route6.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route6Gate.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route7.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route7Gate.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route8.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route8Gate.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Route9.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SafariZoneCenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SafariZoneCenterRestHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SafariZoneEast.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SafariZoneEastRestHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SafariZoneGate.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SafariZoneNorth.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SafariZoneNorthRestHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SafariZoneSecretHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SafariZoneWest.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SafariZoneWestRestHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SaffronCity.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SaffronGym.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SaffronMart.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SaffronPidgeyHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SaffronPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SeafoamIslands1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SeafoamIslandsB1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SeafoamIslandsB2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SeafoamIslandsB3F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SeafoamIslandsB4F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo10F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo11F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo3F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo4F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo5F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo6F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo7F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo8F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCo9F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SilphCoElevator.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SSAnne1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SSAnne1FRooms.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SSAnne2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SSAnne2FRooms.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SSAnne3F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SSAnneB1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SSAnneB1FRooms.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SSAnneBow.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SSAnneCaptainsRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"SSAnneKitchen.asm","","missing","no normalized name match in src/game/*_scripts.c"
"TradeCenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"UndergroundPathNorthSouth.asm","","missing","no normalized name match in src/game/*_scripts.c"
"UndergroundPathRoute5.asm","","missing","no normalized name match in src/game/*_scripts.c"
"UndergroundPathRoute6.asm","","missing","no normalized name match in src/game/*_scripts.c"
"UndergroundPathRoute7.asm","","missing","no normalized name match in src/game/*_scripts.c"
"UndergroundPathRoute7Copy.asm","","missing","no normalized name match in src/game/*_scripts.c"
"UndergroundPathRoute8.asm","","missing","no normalized name match in src/game/*_scripts.c"
"UndergroundPathWestEast.asm","","missing","no normalized name match in src/game/*_scripts.c"
"VermilionCity.asm","","missing","no normalized name match in src/game/*_scripts.c"
"VermilionDock.asm","","missing","no normalized name match in src/game/*_scripts.c"
"VermilionGym.asm","vermilion_gym_scripts.c","mapped","name-normalized match"
"VermilionMart.asm","","missing","no normalized name match in src/game/*_scripts.c"
"VermilionOldRodHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"VermilionPidgeyHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"VermilionPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"VermilionTradeHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"VictoryRoad1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"VictoryRoad2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"VictoryRoad3F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"ViridianCity.asm","","missing","no normalized name match in src/game/*_scripts.c"
"ViridianForest.asm","","missing","no normalized name match in src/game/*_scripts.c"
"ViridianForestNorthGate.asm","","missing","no normalized name match in src/game/*_scripts.c"
"ViridianForestSouthGate.asm","","missing","no normalized name match in src/game/*_scripts.c"
"ViridianGym.asm","","missing","no normalized name match in src/game/*_scripts.c"
"ViridianMart.asm","viridian_mart_scripts.c","mapped","name-normalized match"
"ViridianNicknameHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"ViridianPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"ViridianSchoolHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"WardensHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
