"asm_script","status","partial_reason","c_owner","evidence","maps_referenced","warps","npcs","signs","items","trainers","hidden_events","surface_score","keyness"
"CeladonCity.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","13","9","9","0","0","0","31","high"
"Route12.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","4","12","11","4","2","0","0","31","high"
"MtMoonB2F.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; mtmoon_scripts.c","event_map_symbol_exact; explicit_scripts_ref","1","4","7","0","2","5","0","30","high"
"PowerPlant.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","1","0","13","0","0","30","high"
"SSAnne1FRooms.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","6","10","0","1","4","0","30","high"
"CeruleanCity.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","cerulean_scripts.c; event_data.c","event_map_symbol_exact; explicit_scripts_ref","1","10","11","6","0","0","0","27","high"
"Route11.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","3","11","13","3","0","0","0","27","high"
"CinnabarLab.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","4","11","8","7","0","0","0","26","high"
"Route15.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","3","10","12","2","1","0","0","26","high"
"VictoryRoad2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","7","9","0","4","0","0","24","high"
"GameCorner.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","2","5","13","4","0","0","0","22","high"
"Route16Gate1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","2","18","4","0","0","0","0","22","high"
"VermilionCity.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; ss_anne_scripts.c","event_map_symbol_exact; explicit_scripts_ref","1","9","6","7","0","0","0","22","high"
"SilphCo5F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","7","8","0","3","0","0","21","high"
"CeladonMart3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","5","12","0","0","0","20","high"
"Route8.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","2","9","10","1","0","0","0","20","high"
"PewterCity.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; gate_scripts.c","event_map_symbol_exact; explicit_scripts_ref","1","7","5","7","0","0","0","19","medium"
"Route18.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","3","10","5","4","0","0","0","19","medium"
"SilphCo7F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","6","9","0","2","0","0","19","medium"
"ViridianCity.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; gate_scripts.c","event_map_symbol_exact; explicit_scripts_ref","1","5","7","6","0","0","0","18","medium"
"RocketHideoutB4F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","4","0","5","0","0","17","medium"
"SilphCo4F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","7","4","0","3","0","0","17","medium"
"SilphCo6F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","8","0","2","0","0","17","medium"
"RockTunnel1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","8","7","1","0","0","0","16","medium"
"Route17.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","0","10","6","0","0","0","16","medium"
"VictoryRoad3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","8","0","2","0","0","16","medium"
"LavenderTown.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","6","3","6","0","0","0","15","medium"
"SilphCo10F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","6","3","0","3","0","0","15","medium"
"SilphCo3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","10","3","0","1","0","0","15","medium"
"PalletTown.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; pallet_scripts.c","event_map_symbol_exact; explicit_scripts_ref","1","3","4","4","0","1","0","14","high"
"PokemonMansionB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","3","0","5","0","0","14","medium"
"RocketHideoutB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","5","0","2","0","0","14","medium"
"RocketHideoutB2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","1","0","4","0","0","14","medium"
"Route10.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","6","4","0","0","0","14","medium"
"Route20.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","10","2","0","0","0","14","medium"
"ViridianGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","10","0","1","0","0","14","medium"
"PokemonMansion1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","8","1","0","2","0","0","13","medium"
"Route13.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","0","10","3","0","0","0","13","medium"
"SeafoamIslandsB3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","7","6","0","0","0","0","13","medium"
"SSAnneBow.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","5","0","0","2","0","13","high"
"CeladonMansion3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","4","4","0","0","0","12","medium"
"CeruleanGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","2","0","12","high"
"CeruleanTrashedHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","2","6","4","2","0","0","0","12","medium"
"CinnabarIsland.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","2","5","0","0","0","12","medium"
"RockTunnelB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","8","0","0","0","0","12","medium"
"Route23.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","7","1","0","0","0","12","medium"
"Route9.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","0","9","1","1","0","0","12","medium"
"VictoryRoad1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","5","0","2","0","0","12","medium"
"CinnabarGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","9","0","0","0","0","11","medium"
"PokemonTower4F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","3","0","0","11","medium"
"Route14.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","0","10","1","0","0","0","11","medium"
"Route19.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","0","10","1","0","0","0","11","medium"
"SilphCo8F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","7","4","0","0","0","0","11","medium"
"CeladonGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","8","0","0","0","0","10","medium"
"CeladonMansion1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","4","1","0","0","0","10","medium"
"CinnabarMart.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","2","4","6","0","0","0","0","10","medium"
"FuchsiaGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","8","0","0","0","0","10","medium"
"IndigoPlateau.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","1","3","5","0","0","0","1","10","medium"
"IndigoPlateauLobby.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","5","0","0","0","1","10","medium"
"MtMoonPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","6","0","0","0","1","10","medium"
"Museum1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","5","0","0","0","0","10","medium"
"PokemonFanClub.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","6","2","0","0","0","10","medium"
"PokemonMansion3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","3","0","2","0","0","10","medium"
"Route4.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","2","3","1","0","0","10","medium"
"CeladonMart1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","6","1","2","0","0","0","9","medium"
"PokemonMansion2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","3","0","1","0","0","9","medium"
"PokemonTower5F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","5","0","1","0","0","9","medium"
"PokemonTower6F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","2","0","0","9","medium"
"Route21.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","0","9","0","0","0","0","9","medium"
"SeafoamIslands1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","7","2","0","0","0","0","9","medium"
"SeafoamIslandsB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","7","2","0","0","0","0","9","medium"
"SeafoamIslandsB2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","7","2","0","0","0","0","9","medium"
"SeafoamIslandsB4F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","3","2","0","0","0","9","medium"
"SilphCo11F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","5","0","0","0","0","9","medium"
"SilphCo9F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","4","0","0","0","0","9","medium"
"UndergroundPathRoute7.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","2","6","3","0","0","0","0","9","medium"
"CeladonMart2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","4","1","0","0","0","8","medium"
"CeladonMart5F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","4","1","0","0","0","8","medium"
"CeladonPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","1","8","medium"
"CeruleanPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","1","8","medium"
"CinnabarPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","1","8","medium"
"CopycatsHouse2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","5","2","0","0","0","8","medium"
"DiglettsCave.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","2","6","2","0","0","0","0","8","medium"
"FuchsiaPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","1","8","medium"
"LavenderPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","1","8","medium"
"MrFujisHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","6","0","0","0","0","8","medium"
"Museum2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","5","2","0","0","0","8","medium"
"PewterGym.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; gym_scripts.c","event_map_symbol_exact; explicit_scripts_ref","1","2","3","0","0","1","0","8","high"
"PewterPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","1","8","medium"
"PokemonTower1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","5","0","0","0","0","8","medium"
"RocketHideoutB3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","0","2","0","0","8","medium"
"RockTunnelPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","1","8","medium"
"SaffronPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","1","8","medium"
"SSAnneKitchen.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","7","0","0","0","0","8","medium"
"UndergroundPathRoute6.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","2","6","2","0","0","0","0","8","medium"
"VermilionPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","1","8","medium"
"ViridianPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","1","8","medium"
"WardensHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","2","1","0","0","8","medium"
"CeladonDiner.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","5","0","0","0","0","7","low"
"CeladonMart4F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","3","1","0","0","0","7","low"
"CeladonMartRoof.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","2","4","0","0","0","7","low"
"CinnabarLabMetronomeRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","3","0","0","0","7","low"
"FightingDojo.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","5","0","0","0","0","7","low"
"GameCornerPrizeRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","3","0","0","0","7","low"
"PokemonTower3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","1","0","0","7","low"
"CeruleanCaveB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","1","0","2","0","0","6","low"
"ChampionsRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","2","0","0","0","0","6","low"
"CopycatsHouse1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","3","0","0","0","0","6","low"
"Route11Gate1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","1","0","0","0","0","6","low"
"Route12Gate1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","1","0","0","0","0","6","low"
"Route15Gate1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","1","0","0","0","0","6","low"
"Route18Gate1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","1","0","0","0","0","6","low"
"SafariZoneGate.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","2","0","0","0","0","6","low"
"SaffronPidgeyHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","0","6","low"
"SilphCo1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","1","0","0","0","0","6","low"
"ViridianForestNorthGate.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","2","0","0","0","0","6","low"
"ViridianForestSouthGate.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","2","0","0","0","0","6","low"
"ViridianNicknameHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","4","0","0","0","0","6","low"
"AgathasRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","1","0","0","0","0","5","low"
"BikeShop.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"BluesHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"BrunosRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","1","0","0","0","0","5","low"
"CeladonChiefHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"CeladonHotel.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"CeruleanMart.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"CinnabarLabTradeRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"FuchsiaBillsGrandpasHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"FuchsiaMart.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"FuchsiaMeetingRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"LavenderMart.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"LoreleisRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","1","0","0","0","0","5","low"
"PewterMart.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
